"Library","Qty","Parts","Description","Value","Package","SORT",
"GMSN","1","JP2","16 Pin Header 2x8","HEADER2X8","POWER_SHROUDED","7",
"GMSN","12","CLK_IN, CLOCK_OUT, CV_OUT, GATE1, GATE2, GATE3, GATE4, GATE5, GATE6, GATE7, GATE8, RESET","3.5 mm Jack Socket","PJ301M-12","PJ301M-12","8",
"GMSN","1","IC5","32-Pin ATMEGA328","ATMEGA328P","TQFP32-08","4",
"GMSN","1","ISP1","AVR ISP Header","HEADER2X3-6","AVRISP","7",
"GMSN","10","C27, C28, C29, C30, C31, C32, C33, C34, C35, C36","Capacitor","100nF","C0805","3",
"GMSN","8","C10, C12, C14, C16, C18, C20, C22, C24","Capacitor","100pF","C0805","3",
"GMSN","1","C3","Capacitor","1u","C0805","3",
"GMSN","2","C1, C2","Capacitor","22pF","C0805","3",
"GMSN","2","C6, C7","Capacitor","47pF","C0805","3",
"GMSN","1","Q1","Crystal","20MHz","HC49UP","5",
"GMSN","8","D3, D4, D5, D6, D7, D8, D9, D10","Diode","1N914","DO-41","1",
"GMSN","2","D1, D2","Diode","STTH102A","SMADIODE","1",
"GMSN","3","C4, C5, C26","Electro Capacitor","10uF","153CLV-0505","6",
"GMSN","2","T1, T2","Generic NPN BJT","MMBT3904","SOT23","4",
"GMSN","1","IC6","Multiplexer / Demultiplexer","CD4051","SOIC_16","4",
"GMSN","3","IC2, IC3, IC4","OP AMP","TL074","SO14","4",
"GMSN","2","DIRSW, RANGE","On-Off-On Switch","SWITCH_TOGGLE","TOGGLE_SW","9",
"GMSN","2","GLIDE, RATE","Potentiometer","B100k","POTENTIOMETER_9MM","8",
"GMSN","8","FADER1, FADER2, FADER3, FADER4, FADER5, FADER6, FADER7, FADER8","Potentiometer with LED","100k","FADER_20MM_LED","7",
"GMSN","1","SW1","Pushbutton LED","","PB6149L","9",
"GMSN","1","R1","Resistor","100R","R0805","2",
"GMSN","16","R6, R9, R11, R12, R19, R24, R29, R34, R39, R44, R49, R54, R55, R58, R59, R61","Resistor","100k","R0805","2",
"GMSN","18","R5, R8, R16, R17, R21, R22, R26, R27, R31, R32, R36, R37, R41, R42, R46, R47, R51, R52","Resistor","10k","R0805","2",
"GMSN","2","R7, R10","Resistor","1M","R0805","2",
"GMSN","12","R4, R13, R14, R18, R23, R28, R33, R38, R43, R48, R53, R57","Resistor","1k","R0805","2",
"GMSN","1","R60","Resistor","200k","R0805","2",
"GMSN","9","R15, R20, R25, R30, R35, R40, R45, R50, R56","Resistor","330R","R0805","2",
"GMSN","1","R2","Resistor","34k","R0805","2",
"GMSN","1","R62","Resistor","50k","R0805","2",
"GMSN","1","R3","Resistor","56k","R0805","2",
